LP,IS_OK,POWOD,LOKACJA,SZCZEGOLOWA_LOKACJA,PIETRO,OZNACZENIE_REGALU,LICZBA_PIONOW,LICZBA_POLEK,WYSOKOSC,SZEROKOSC,GLEBOKOSC,POZIOM1,POZIOM2,POZIOM3,POZIOM4,POZIOM5,POZIOM6,POZIOM7,POZIOM8,POZIOM9,POZIOM10,POZIOM11,POZIOM12,NOSNOSC_KOLUMNY,NOSNOSC1,NOSNOSC2,NOSNOSC3,NOSNOSC4,NOSNOSC5,NOSNOSC6,NOSNOSC7,NOSNOSC8,NOSNOSC9,NOSNOSC10,NOSNOSC11,NOSNOSC12
1,tak,nazwa,USTRONNA,BRAK TABLICZKI ,2,,1,4,2000,960,600,100,810,1690,1940,,,,,,,,,1050,150,150,150,150,,,,,,,,
2,tak,,USTRONNA,,2,PA,4,10,2000,1000,600,50,250,450,650,850,1050,1250,1450,1650,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
3,tak,,USTRONNA,,2,PA,7,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
4,tak,,USTRONNA,,2,PB,11,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
5,tak,,USTRONNA,,2,PC 02-11,6,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
6,tak,,USTRONNA,,2,PC 02-11,5,10,2000,1000,600,50,250,450,650,850,1050,1250,1450,1670,1930,,,1050,150,150,150,150,150,150,150,150,150,150,,
7,tak,,USTRONNA,,2,PC 21-31,11,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
8,tak,,USTRONNA,,2,PD 01-11,11,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
9,tak,,USTRONNA,,2,PD 21-31,4,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
10,tak,,USTRONNA,,2,PD 21-31,5,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
11,tak,,USTRONNA,,2,PE 01-11,11,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
12,tak,,USTRONNA,,2,PE 21-30,11,8,2000,1000,600,50,350,650,950,1250,1550,1800,1980,,,,,1050,150,150,150,150,150,150,150,150,,,,
13,tak,,USTRONNA,,2,PF 01-11,11,8,2000,1000,600,50,350,650,950,1250,1550,1800,1980,,,,,1050,150,150,150,150,150,150,150,150,,,,
14,tak,,USTRONNA,,2,PF 21-30,11,12,2000,1000,600,50,220,400,570,750,920,1100,1270,1450,1620,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
15,tak,,USTRONNA,,2,PG 01-11,11,12,2000,1000,600,50,220,400,570,750,920,1100,1270,1450,1620,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
16,tak,,USTRONNA,,2,PG 21-31,11,8,2000,1000,600,50,350,650,950,1250,1550,1800,1980,,,,,1050,150,150,150,150,150,150,150,150,,,,
